network,latitude,longitude
3.5.140.0/22,37,127
13.34.37.64/27,-38,145
13.34.65.64/27,32,35
13.34.66.0/27,39,-77
35.180.0.0/16,49,2
43.224.79.154/31,52,0
43.224.79.174/31,46,-120
52.93.153.170/32,52,0
52.93.178.234/32,37,-122
52.94.76.0/22,46,-120
52.95.36.0/22,-34,151
52.219.170.0/23,50,9
99.87.32.0/22,53,-6
120.52.22.96/27,35,114
150.222.11.86/31,53,-6
150.222.81.0/24,53,-6
150.222.234.54/31,37,-122
13.34.11.32/27,35,114
13.34.24.160/27,46,-120
13.34.50.32/27,35,114
13.34.52.96/27,52,0
15.230.39.60/31,40,-83
43.224.79.48/31,46,-120
43.224.79.212/31,39,-77
52.46.188.68/30,46,-120
52.46.189.248/30,46,-120
52.94.152.9/32,39,-77
52.219.168.0/24,50,9
150.222.78.0/24,1,104
3.108.0.0/14,19,73
13.34.43.192/27,39,-77
13.34.52.0/27,40,-83
13.34.64.32/27,49,2
15.181.232.0/21,39,-77
15.230.39.208/31,40,-83
52.93.17.0/24,53,-6
52.93.127.163/32,39,-77
52.93.240.164/31,46,-120
52.95.150.0/24,52,0
52.219.60.0/23,37,127
142.4.160.136/29,39,-77
150.222.230.102/31,50,9
3.2.0.0/24,39,-77
13.34.43.96/27,40,-83
13.34.48.0/27,19,73
13.34.62.160/27,36,140
13.34.64.96/27,49,2
13.248.56.0/22,35,114
13.248.117.0/24,19,73
15.221.34.0/24,36,140
15.230.137.0/24,39,-77
52.93.126.135/32,50,9
52.93.178.219/32,37,-122
52.93.240.186/31,46,-120
52.94.24.0/23,53,-6
150.222.3.187/32,1,104
150.222.199.0/25,37,-122
150.222.252.248/31,37,-122
161.188.154.0/23,39,-77
15.230.39.44/31,40,-83
43.249.45.0/24,37,127
52.4.0.0/14,39,-77
52.46.191.174/31,39,-77
52.93.92.68/31,37,-122
52.93.127.27/32,53,-6
52.144.227.192/26,37,127
52.144.229.64/26,36,140
64.252.81.0/24,-24,-47
142.4.160.80/29,39,-77
13.248.70.0/24,36,140
15.230.73.192/26,35,114
43.224.76.28/30,52,0
50.16.0.0/15,39,-77
52.46.189.108/30,46,-120
52.93.127.133/32,19,73
52.93.198.0/25,49,2
52.95.208.0/22,39,-77
52.95.224.0/24,45,9
104.255.59.104/32,-6,107
104.255.59.114/32,35,136
150.222.84.0/24,19,73
150.222.129.244/31,50,9
150.222.208.82/31,-34,18
150.222.234.50/31,37,-122
205.251.249.0/24,35,114
13.34.32.128/27,37,-122
13.34.49.0/27,53,-6
15.193.3.0/24,-34,151
15.220.196.0/22,39,-77
15.220.216.0/22,19,73
35.71.115.0/24,40,-83
43.224.76.152/30,39,-77
52.93.127.169/32,39,-77
52.93.153.148/32,52,0
52.94.244.0/22,39,-77
52.119.208.0/23,46,-120
54.240.236.26/32,45,9
150.222.3.190/32,1,104
150.222.228.0/24,-24,-47
13.34.34.192/27,39,-77
15.197.34.0/23,35,114
15.205.0.0/16,46,-120
15.230.39.10/31,40,-83
16.12.6.0/23,35,114
52.46.190.68/30,52,0
52.93.34.56/32,37,-122
52.94.198.16/28,-24,-47
52.144.225.128/26,36,140
64.252.69.0/24,39,-77
150.222.122.104/31,50,9
13.34.17.64/27,39,-77
13.236.0.0/14,-34,151
15.230.158.0/23,52,0
43.206.0.0/15,36,140
43.224.77.192/30,39,-77
52.46.220.0/22,59,18
52.93.50.128/32,39,-77
52.93.50.140/31,39,-77
52.93.56.0/24,52,0
52.93.178.152/32,37,-122
52.95.41.0/24,39,-77
52.95.100.0/22,46,-120
52.95.226.0/24,35,114
52.219.204.0/22,37,127
99.78.152.0/22,-34,18
142.4.160.56/29,46,-120
150.222.135.0/24,35,114
150.222.202.0/24,53,-6
176.32.125.244/31,39,-77
3.4.0.0/24,39,-77
13.34.60.128/27,39,-77
15.177.83.0/24,-34,151
15.185.0.0/16,26,51
15.220.252.0/22,46,-120
15.221.35.0/24,1,104
15.230.39.28/31,40,-83
15.248.28.0/22,52,0
52.46.190.0/30,39,-77
52.93.35.212/32,35,114
52.93.127.118/32,53,-6
52.93.178.205/32,37,-122
52.94.26.0/23,53,-6
52.94.152.44/32,39,-77
52.95.182.0/23,35,136
54.240.236.54/32,45,9
54.247.0.0/16,53,-6
54.248.0.0/15,36,140
13.34.41.192/27,-34,151
13.248.72.0/24,32,35
15.230.39.196/31,40,-83
15.251.0.9/32,-34,151
18.34.248.0/22,1,104
35.71.99.0/24,26,51
43.224.76.76/30,39,-77
43.224.79.70/31,39,-77
43.224.79.200/31,39,-77
52.46.188.192/30,52,0
52.119.252.0/22,46,-120
54.148.0.0/15,46,-120
69.107.7.16/29,35,114
99.77.130.0/24,46,-120
150.222.3.185/32,1,104
150.222.11.78/31,53,-6
150.222.234.52/31,37,-122
150.222.234.68/31,37,-122
180.163.57.128/26,35,114
13.34.50.224/27,39,-77
15.230.68.192/26,59,18
18.200.0.0/16,53,-6
43.224.76.144/30,52,0
52.93.91.102/32,39,-77
52.93.141.212/32,37,-122
54.206.0.0/16,-34,151
54.240.236.69/32,45,9
99.150.56.0/21,46,-120
108.175.56.0/22,46,-120
150.222.96.0/24,53,-6
13.34.15.32/27,36,140
13.34.29.224/27,39,-77
13.248.124.0/24,39,-77
15.193.2.0/24,1,104
15.220.222.0/23,39,-77
15.230.67.64/26,37,-122
15.230.212.0/23,-34,151
43.224.76.32/30,46,-120
43.224.79.94/31,52,0
43.224.79.222/31,52,0
52.93.178.136/32,37,-122
52.219.192.0/23,37,-122
99.77.132.0/24,37,-122
104.255.59.82/32,36,140
150.222.120.242/31,50,9
161.188.146.0/23,39,-77
15.181.247.0/24,39,-77
15.230.200.0/24,1,104
18.232.0.0/14,39,-77
43.224.77.0/29,46,-120
52.93.112.0/24,53,-6
52.93.178.138/32,37,-122
54.239.0.224/28,40,-83
54.239.48.0/22,46,-120
64.252.118.0/24,37,-122
13.34.54.224/27,46,-120
13.248.119.0/24,53,-6
15.230.39.254/31,40,-83
15.230.179.16/29,40,-83
52.93.81.0/24,53,-6
52.93.240.170/31,46,-120
54.74.0.0/15,53,-6
150.222.15.124/32,39,-77
150.222.114.0/24,35,114
150.222.242.214/31,49,2
13.34.27.32/27,52,0
13.34.39.32/27,47,9
15.220.207.0/24,46,-120
15.230.39.206/31,40,-83
15.230.39.244/31,40,-83
18.102.0.0/16,45,9
52.46.190.144/30,52,0
52.46.191.98/31,39,-77
52.93.14.18/32,46,-120
52.94.6.0/24,37,127
52.144.197.192/26,46,-120
64.252.122.0/24,37,-122
69.107.7.56/29,40,-83
150.222.2.0/24,39,-77
150.222.3.234/31,1,104
150.222.164.220/31,53,-6
13.34.23.0/27,40,-83
13.248.67.0/24,-38,145
15.230.138.0/24,-34,18
43.224.79.254/31,46,-120
52.46.190.32/30,39,-77
52.47.0.0/16,49,2
52.93.16.0/24,53,-6
52.94.249.144/28,35,114
52.95.136.0/23,42,-1
52.95.255.64/28,53,-6
52.144.199.128/26,45,-74
52.144.225.64/26,36,140
52.219.143.0/24,40,-83
54.240.236.22/32,45,9
204.246.168.0/22,35,114
13.34.25.248/29,19,73
13.34.38.64/27,42,-1
13.208.0.0/16,35,136
15.193.7.0/24,46,-120
15.230.39.108/31,40,-83
15.230.70.0/26,19,73
15.230.74.128/26,37,127
15.230.76.0/26,45,9
43.224.79.96/31,52,0
52.46.191.64/31,39,-77
52.93.50.136/31,39,-77
52.93.50.166/31,39,-77
52.93.96.0/24,53,-6
52.93.122.203/32,-24,-47
52.93.127.194/32,1,104
54.156.0.0/14,39,-77
54.236.0.0/15,39,-77
99.150.8.0/21,39,-77
150.222.234.18/31,37,-122
150.222.234.98/31,37,-122
3.5.40.0/22,-38,145
3.5.136.0/22,50,9
13.34.3.160/27,17,78
15.181.160.0/20,39,-77
15.230.29.0/24,1,104
15.230.39.14/31,40,-83
18.191.0.0/16,40,-83
43.224.79.56/31,39,-77
52.144.210.0/26,53,-6
99.77.159.0/24,45,9
99.83.97.0/24,37,-122
150.222.232.88/32,37,-122
13.34.55.0/27,46,-120
15.177.82.0/24,1,104
15.181.80.0/20,39,-77
52.46.191.60/31,39,-77
52.46.191.156/31,39,-77
52.93.127.112/32,1,104
52.93.178.134/32,37,-122
52.93.240.160/31,46,-120
52.144.211.196/31,52,0
52.219.72.0/22,50,9
54.153.128.0/17,-34,151
122.248.192.0/18,1,104
150.222.119.0/24,-34,151
13.34.19.64/27,53,-6
13.34.22.160/27,40,-83
13.34.39.64/27,47,9
13.247.0.0/16,-34,18
15.230.39.34/31,40,-83
15.230.218.0/24,39,-77
18.192.0.0/15,50,9
35.71.114.0/24,36,140
52.46.191.68/31,39,-77
52.46.191.234/31,46,-120
52.93.126.132/32,50,9
52.93.127.126/32,19,73
52.93.133.177/32,45,9
52.93.178.183/32,37,-122
52.144.215.192/31,59,18
52.219.68.0/22,36,140
54.229.0.0/16,53,-6
54.239.1.96/28,59,18
54.239.102.234/31,37,-122
104.255.59.103/32,-6,107
150.222.28.136/31,-24,-47
13.34.59.96/27,39,-77
13.34.67.224/27,46,-120
13.248.100.0/24,59,18
15.230.130.0/24,39,-77
15.230.183.0/24,40,-83
18.160.0.0/15,35,114
52.46.190.204/31,46,-120
52.93.5.0/24,45,-74
52.93.50.146/31,39,-77
52.93.50.156/31,39,-77
52.93.55.146/31,37,-122
52.93.71.30/32,39,-77
52.93.120.178/32,37,-122
52.93.127.124/32,39,-77
52.144.193.128/26,39,-77
54.250.0.0/16,36,140
64.252.89.0/24,50,9
69.107.7.136/29,26,51
107.20.0.0/14,39,-77
150.222.28.130/31,-24,-47
150.222.28.140/31,-24,-47
150.222.129.62/31,50,9
3.5.160.0/22,37,-122
13.34.7.0/27,40,-83
13.34.13.0/27,39,-77
15.221.36.0/22,1,104
15.230.40.0/24,39,-77
46.51.192.0/20,53,-6
52.93.50.174/31,39,-77
52.93.115.0/24,17,78
52.93.178.161/32,37,-122
52.93.193.200/32,45,-74
52.95.174.0/24,26,51
99.77.149.0/24,-24,-47
99.78.156.0/22,50,9
150.222.120.20/31,50,9
150.222.220.0/24,19,73
3.132.0.0/14,40,-83
13.34.3.224/27,17,78
13.34.5.46/32,50,9
13.34.39.192/27,47,9
15.221.7.0/24,46,-120
15.230.132.0/24,53,-6
15.230.202.0/30,37,-122
15.251.0.27/32,32,35
43.224.79.194/31,39,-77
52.46.208.0/21,59,18
52.93.51.28/32,39,-77
52.94.12.0/24,37,-122
52.95.187.0/24,25,55
63.32.0.0/14,53,-6
64.252.85.0/24,52,0
150.222.3.240/31,1,104
150.222.129.134/31,50,9
13.34.45.160/27,35,114
13.36.0.0/14,49,2
15.230.36.0/23,37,-122
15.230.39.54/31,40,-83
52.93.91.101/32,39,-77
52.93.240.188/31,46,-120
70.232.80.0/21,-38,145
99.82.184.0/22,-34,151
150.222.28.108/31,-24,-47
150.222.121.0/24,53,-6
150.222.234.34/31,37,-122
172.96.98.0/24,53,-6
13.34.20.0/27,26,51
13.34.35.160/27,25,55
43.224.76.188/30,39,-77
43.224.77.136/30,52,0
52.46.189.140/30,39,-77
52.46.252.0/22,39,-77
52.93.126.198/32,45,9
52.94.152.67/32,37,-122
52.95.255.16/28,-34,151
52.219.141.0/24,40,-83
54.240.236.38/32,45,9
150.222.3.198/31,1,104
13.34.55.64/27,37,-122
15.230.0.12/31,-24,-47
15.230.87.0/24,39,-77
18.236.0.0/15,46,-120
51.20.0.0/14,49,2
52.46.188.72/30,46,-120
52.46.188.244/30,39,-77
52.46.191.230/31,46,-120
52.93.50.142/31,39,-77
52.93.240.192/31,46,-120
52.94.249.80/28,37,-122
52.95.139.0/24,47,9
54.240.198.0/24,37,-122
64.252.74.0/24,40,-83
99.77.183.0/24,40,-83
150.222.227.0/24,39,-77
150.222.230.130/31,50,9
13.34.29.128/27,39,-77
13.34.52.64/27,52,0
13.248.32.0/20,35,114
52.94.199.0/24,40,-83
52.95.128.0/21,-34,151
52.119.206.0/23,39,-77
64.252.79.0/24,-24,-47
150.222.28.106/31,-24,-47
161.188.148.0/23,46,-120
176.32.125.230/31,39,-77
205.251.252.0/23,35,114
13.34.11.128/27,40,-83
13.34.20.64/27,26,51
13.34.23.224/27,46,-120
13.34.67.64/27,46,-120
13.248.113.0/24,53,-6
15.188.0.0/16,49,2
15.230.39.220/31,40,-83
18.116.0.0/14,40,-83
52.46.189.16/30,39,-77
52.93.126.235/32,-24,-47
52.93.127.218/32,39,-77
52.93.127.239/32,36,140
52.93.133.153/32,45,9
52.93.178.231/32,37,-122
52.95.178.0/23,-6,107
54.200.0.0/15,46,-120
54.239.1.16/28,49,2
185.143.16.0/24,53,-6
205.251.244.0/23,39,-77
3.5.36.0/22,-6,107
13.34.38.160/27,42,-1
13.34.65.0/27,32,35
13.34.68.0/27,46,-120
18.34.32.0/20,53,-6
43.224.77.28/30,39,-77
52.46.92.0/22,49,2
52.46.190.104/30,39,-77
52.46.191.158/31,39,-77
52.93.50.178/31,39,-77
52.93.50.188/31,39,-77
52.93.236.0/24,39,-77
54.239.98.0/24,39,-77
176.32.125.228/31,39,-77
13.34.30.128/27,39,-77
43.224.77.152/30,52,0
52.46.188.84/30,39,-77
52.46.189.32/30,46,-120
52.46.189.156/30,39,-77
52.46.190.100/30,46,-120
52.93.178.187/32,37,-122
52.119.176.0/21,37,-122
54.144.0.0/14,39,-77
54.169.0.0/16,1,104
54.240.236.74/32,45,9
63.246.113.0/24,53,-6
99.77.136.0/24,50,9
150.222.230.104/31,50,9
161.188.158.0/23,39,-77
13.34.26.96/27,46,-120
15.230.74.192/26,37,127
15.230.78.192/26,-34,151
35.71.118.0/24,1,104
43.224.76.184/30,39,-77
52.93.127.69/32,39,-77
52.93.193.199/32,45,-74
52.93.240.148/31,46,-120
52.95.104.0/22,53,-6
52.119.249.0/24,26,51
64.252.72.0/24,46,-120
150.222.85.0/24,53,-6
150.222.245.122/31,50,9
13.34.35.224/27,-6,107
15.230.178.0/24,-6,107
15.230.192.0/24,39,-77
43.224.79.58/31,39,-77
52.46.188.120/30,39,-77
52.93.127.121/32,45,9
52.93.240.194/31,46,-120
52.95.168.0/24,-38,145
52.144.224.128/26,1,104
54.192.0.0/16,35,114
54.239.0.16/28,37,-122
54.239.0.96/28,1,104
99.77.148.0/24,-34,18
13.34.37.0/27,-38,145
13.248.110.0/24,-6,107
15.197.32.0/23,35,114
15.230.39.40/31,40,-83
15.251.0.7/32,37,-122
43.224.76.104/30,39,-77
43.224.76.212/30,39,-77
43.224.77.40/30,39,-77
52.46.188.228/30,39,-77
52.95.240.0/24,-24,-47
52.219.16.0/22,36,140
75.101.128.0/17,39,-77
150.222.3.242/31,1,104
150.222.129.122/31,50,9
176.32.125.234/31,39,-77
204.246.173.0/24,35,114
3.4.3.0/24,46,-120
15.222.0.0/15,45,-74
43.224.79.198/31,39,-77
52.93.62.0/24,40,-83
52.93.127.127/32,19,73
52.94.176.0/20,46,-120
150.222.234.142/31,37,-122
13.34.6.224/27,17,78
13.34.24.96/27,46,-120
13.34.43.128/27,40,-83
13.34.61.224/27,46,-120
15.221.50.0/24,49,2
35.96.0.0/12,46,-120
52.93.20.0/24,46,-120
52.144.192.0/26,39,-77
150.222.112.0/24,-34,151
204.236.128.0/18,37,-122
3.5.208.0/22,19,73
13.34.30.160/27,39,-77
13.34.34.64/27,17,78
13.34.45.64/27,35,114
13.34.46.0/27,19,73
15.177.76.0/24,37,127
15.230.135.0/24,40,-83
43.224.77.96/30,39,-77
43.224.77.180/30,52,0
43.224.79.52/31,39,-77
52.30.0.0/15,53,-6
52.46.188.76/30,39,-77
52.46.189.80/30,39,-77
52.93.71.27/32,39,-77
52.94.8.0/24,36,140
52.94.249.64/28,46,-120
54.92.0.0/17,36,140
54.154.0.0/16,53,-6
64.252.76.0/24,40,-83
67.202.0.0/18,39,-77
103.246.148.0/23,1,104
150.222.120.230/31,50,9
150.222.230.92/32,50,9
150.222.234.56/31,37,-122
161.188.156.0/23,46,-120
